9334334,s1,T1,T2,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila ",suppressor of Hairy-wing protein, (,Suhw,") that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s4,T15,T7,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned ",Chip, and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus ,Xldb1," proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T16,T8,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. ",Chip, protein interacts with the LIM domains in the ,Apterous," homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Complex_formation
9334334,s5,T16,T10,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. ",Chip," protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for ",Apterous," function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T17,T10,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and ",Chip," interacts genetically with apterous, showing that these interactions are important for ",Apterous," function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T16,T17,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. ",Chip," protein interacts with the LIM domains in the Apterous homeodomain protein, and ",Chip," interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T8,T10,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the ",Apterous," homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for ",Apterous," function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T8,T17,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the ",Apterous," homeodomain protein, and ",Chip," interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T8,T9,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the ",Apterous," homeodomain protein, and Chip interacts genetically with ",apterous,", showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T9,T10,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with ",apterous,", showing that these interactions are important for ",Apterous," function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T16,T9,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. ",Chip," protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with ",apterous,", showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s5,T17,T9,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and ",Chip, interacts genetically with ,apterous,", showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal gap and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s8,T20,T21,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without ",Chip, activity lack segments and show abnormal ,gap," and pair-rule gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s8,T20,T22,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without ",Chip, activity lack segments and show abnormal gap and ,pair-rule," gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
9334334,s8,T21,T22,"Chip, a widely expressed chromosomal protein required for segmentation and activity of a remote wing margin enhancer in Drosophila. 
The mechanisms allowing remote enhancers to regulate promoters several kilobase pairs away are unknown but are blocked by the Drosophila suppressor of Hairy-wing protein (Suhw) that binds to gypsy retrovirus insertions between enhancers and promoters. Suhw bound to a gypsy insertion in the cut gene also appears to act interchromosomally to antagonize enhancer-promoter interactions on the homologous chromosome when activity of the Chip gene is reduced. This implicates Chip in enhancer-promoter communication. We cloned Chip and find that it encodes a homolog of the recently discovered mouse Nli/Ldb1/Clim-2 and Xenopus Xldb1 proteins that bind nuclear LIM domain proteins. Chip protein interacts with the LIM domains in the Apterous homeodomain protein, and Chip interacts genetically with apterous, showing that these interactions are important for Apterous function in vivo. Importantly, Chip also appears to have broad functions beyond interactions with LIM domain proteins. Chip is present in all nuclei examined and at numerous sites along the salivary gland polytene chromosomes. Embryos without Chip activity lack segments and show abnormal ",gap, and ,pair-rule," gene expression, although no LIM domain proteins are known to regulate segmentation. We conclude that Chip is a ubiquitous chromosomal factor required for normal expression of diverse genes at many stages of development. We suggest that Chip cooperates with different LIM domain proteins and other factors to structurally support remote enhancer-promoter interactions. 
",Not_a_complex
