23155421_7,s1,T13,T14,"First, it has been shown that by forcing the TMD and TIR domains of ",TLRs," to be in a dimeric complex using constitutively dimeric extracellular domains, it is possible to activate the ",NF-kappaB, pathway as well as other known TLR gene promoters in the absence of ligands.,Not_a_complex
23155421_7,s6,T10,T11,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, TLR2/6), the transmembrane domain sequences of TLR1 and ",TLR6," are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with ",TLR2,.,Not_a_complex
23155421_7,s6,T20,T10,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric ",TLRs," (TLR2/1, TLR2/6), the transmembrane domain sequences of TLR1 and ",TLR6," are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T21,T10,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/",1,", TLR2/6), the transmembrane domain sequences of TLR1 and ",TLR6," are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T22,T10,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, TLR2/",6,"), the transmembrane domain sequences of TLR1 and ",TLR6," are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T20,T11,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric ",TLRs," (TLR2/1, TLR2/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with ",TLR2,.,Not_a_complex
23155421_7,s6,T21,T11,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/",1,", TLR2/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with ",TLR2,.,Not_a_complex
23155421_7,s6,T22,T11,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, TLR2/",6,"), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with ",TLR2,.,Not_a_complex
23155421_7,s6,T20,T21,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric ",TLRs, (TLR2/,1,", TLR2/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T20,T22,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric ",TLRs," (TLR2/1, TLR2/",6,"), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T21,T22,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/",1,", TLR2/",6,"), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T7,T10,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (",TLR2,"/1, TLR2/6), the transmembrane domain sequences of TLR1 and ",TLR6," are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T7,T11,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (",TLR2,"/1, TLR2/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with ",TLR2,.,Not_a_complex
23155421_7,s6,T20,T7,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric ",TLRs, (,TLR2,"/1, TLR2/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T7,T22,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (",TLR2,"/1, TLR2/",6,"), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T7,T8,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (",TLR2,"/1, ",TLR2,"/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T7,T9,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (",TLR2,"/1, TLR2/6), the transmembrane domain sequences of ",TLR1," and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T8,T10,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, ",TLR2,"/6), the transmembrane domain sequences of TLR1 and ",TLR6," are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T8,T11,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, ",TLR2,"/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with ",TLR2,.,Not_a_complex
23155421_7,s6,T20,T8,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric ",TLRs," (TLR2/1, ",TLR2,"/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T21,T8,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/",1,", ",TLR2,"/6), the transmembrane domain sequences of TLR1 and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T8,T9,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, ",TLR2,"/6), the transmembrane domain sequences of ",TLR1," and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T9,T10,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, TLR2/6), the transmembrane domain sequences of ",TLR1, and ,TLR6," are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T9,T11,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, TLR2/6), the transmembrane domain sequences of ",TLR1," and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with ",TLR2,.,Not_a_complex
23155421_7,s6,T20,T9,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric ",TLRs," (TLR2/1, TLR2/6), the transmembrane domain sequences of ",TLR1," and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T21,T9,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/",1,", TLR2/6), the transmembrane domain sequences of ",TLR1," and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s6,T22,T9,"Interestingly, such a hypothesis is also supported by the fact that for the two pairs of heterodimeric TLRs (TLR2/1, TLR2/",6,"), the transmembrane domain sequences of ",TLR1," and TLR6 are almost identical (Table 1) due to recent evolutionary divergence, suggesting that their TMD regions possibly contribute to their association with TLR2.",Not_a_complex
23155421_7,s7,T23,T24,Our results demonstrate that isolated ,TLR, TMDs are indeed capable of oligomerizing and have higher propensity for ,TLR, interactions previously identified.,Not_a_complex
