24497193_44,s1,T11,T1,Because ,YHC1,-(1-189) mud1Delta cells grew about as well as ,YHC1," mud1Delta cells at all temperatures tested (Figure 11, bottom panel), whereas YHC1-(1-170) mud1Delta cells were inviable, we surmise that the Yhc1 segment from aa 171 to 189 is genetically redundant with the Mud1 subunit of the U1 snRNP.",Not_a_complex
24497193_44,s3,T4,T5,In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of ,YHC1," mud2Delta cells, this result signifies that the ",Yhc1," segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.",Not_a_complex
24497193_44,s3,T4,T6,In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of ,YHC1," mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of ",Mud2," at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.",Not_a_complex
24497193_44,s3,T4,T7,In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of ,YHC1," mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the ",Yhc1, segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.,Not_a_complex
24497193_44,s3,T4,T8,In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of ,YHC1," mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer ",Mud2, loss at high temperatures.,Not_a_complex
24497193_44,s3,T14,T5,In comparison with the lethality of mud2Delta to ,YHC1,"-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the ",Yhc1," segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.",Not_a_complex
24497193_44,s3,T5,T6,"In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the ",Yhc1, segment from aa 171 to 189 compensates for the absence of ,Mud2," at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.",Not_a_complex
24497193_44,s3,T5,T7,"In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the ",Yhc1," segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the ",Yhc1, segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.,Not_a_complex
24497193_44,s3,T5,T8,"In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the ",Yhc1," segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer ",Mud2, loss at high temperatures.,Not_a_complex
24497193_44,s3,T14,T6,In comparison with the lethality of mud2Delta to ,YHC1,"-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of ",Mud2," at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.",Not_a_complex
24497193_44,s3,T6,T7,"In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of ",Mud2," at low temperatures, whereas the ",Yhc1, segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.,Not_a_complex
24497193_44,s3,T6,T8,"In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of ",Mud2," at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer ",Mud2, loss at high temperatures.,Not_a_complex
24497193_44,s3,T14,T7,In comparison with the lethality of mud2Delta to ,YHC1,"-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the ",Yhc1, segment from aa 190 to 212 is required to buffer Mud2 loss at high temperatures.,Not_a_complex
24497193_44,s3,T7,T8,"In comparison with the lethality of mud2Delta to YHC1-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the ",Yhc1, segment from aa 190 to 212 is required to buffer ,Mud2, loss at high temperatures.,Not_a_complex
24497193_44,s3,T14,T8,In comparison with the lethality of mud2Delta to ,YHC1,"-(170) and the normal growth of YHC1 mud2Delta cells, this result signifies that the Yhc1 segment from aa 171 to 189 compensates for the absence of Mud2 at low temperatures, whereas the Yhc1 segment from aa 190 to 212 is required to buffer ",Mud2, loss at high temperatures.,Not_a_complex
24497193_44,s4,T15,T9,The ,YHC1,-(1-189) tgs1Delta strain displayed a mild synthetic defect compared with the ,YHC1," tgs1Delta, seen as smaller colony size at 34-37degreesC (not shown) and scored as ++ growth (Figure 11).",Not_a_complex
24497193_44,s5,T16,T17,Given that tgs1Delta was lethal with ,YHC1,"-(1-170), we invoke genetic redundancy of ",Yhc1,"-(171-189) with the TMG cap.
",Not_a_complex
