9032232,s0,T1,T2,Effect of association with ,adenylyl cyclase-associated protein, on the interaction of yeast ,adenylyl cyclase," with Ras protein. 
",Complex_formation
9032232,s4,T6,T7,The stimulatory effect of farnesylation is found to depend on the association of ,adenylyl cyclase, with 70-kDa ,adenylyl cyclase-associated protein," (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Complex_formation
9032232,s4,T9,T19,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified ",adenylyl cyclase, with and without bound ,CAP,.,Complex_formation
9032232,s4,T16,T17,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (,CAP,"), which was known to be required for proper in vivo response of adenylyl cyclase to ",Ras," protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T16,T18,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (,CAP,"), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of ",Ras,-dependent activation of purified adenylyl cyclase with and without bound CAP.,Not_a_complex
9032232,s4,T16,T19,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (,CAP,"), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound ",CAP,.,Not_a_complex
9032232,s4,T17,T18,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to ",Ras," protein, by comparing the levels of ",Ras,-dependent activation of purified adenylyl cyclase with and without bound CAP.,Not_a_complex
9032232,s4,T17,T19,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to ",Ras," protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound ",CAP,.,Not_a_complex
9032232,s4,T18,T19,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of ",Ras,-dependent activation of purified adenylyl cyclase with and without bound ,CAP,.,Not_a_complex
9032232,s4,T6,T17,The stimulatory effect of farnesylation is found to depend on the association of ,adenylyl cyclase," with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to ",Ras," protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T6,T18,The stimulatory effect of farnesylation is found to depend on the association of ,adenylyl cyclase," with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of ",Ras,-dependent activation of purified adenylyl cyclase with and without bound CAP.,Not_a_complex
9032232,s4,T6,T19,The stimulatory effect of farnesylation is found to depend on the association of ,adenylyl cyclase," with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound ",CAP,.,Not_a_complex
9032232,s4,T6,T8,The stimulatory effect of farnesylation is found to depend on the association of ,adenylyl cyclase," with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of ",adenylyl cyclase," to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T6,T9,The stimulatory effect of farnesylation is found to depend on the association of ,adenylyl cyclase," with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified ",adenylyl cyclase, with and without bound CAP.,Not_a_complex
9032232,s4,T7,T16,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa ,adenylyl cyclase-associated protein, (,CAP,"), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T7,T17,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa ,adenylyl cyclase-associated protein," (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to ",Ras," protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T7,T18,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa ,adenylyl cyclase-associated protein," (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of ",Ras,-dependent activation of purified adenylyl cyclase with and without bound CAP.,Not_a_complex
9032232,s4,T7,T19,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa ,adenylyl cyclase-associated protein," (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound ",CAP,.,Not_a_complex
9032232,s4,T7,T8,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa ,adenylyl cyclase-associated protein," (CAP), which was known to be required for proper in vivo response of ",adenylyl cyclase," to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T7,T9,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa ,adenylyl cyclase-associated protein," (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified ",adenylyl cyclase, with and without bound CAP.,Not_a_complex
9032232,s4,T16,T8,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (,CAP,"), which was known to be required for proper in vivo response of ",adenylyl cyclase," to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T8,T17,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of ",adenylyl cyclase, to ,Ras," protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound CAP.",Not_a_complex
9032232,s4,T8,T18,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of ",adenylyl cyclase," to Ras protein, by comparing the levels of ",Ras,-dependent activation of purified adenylyl cyclase with and without bound CAP.,Not_a_complex
9032232,s4,T8,T19,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of ",adenylyl cyclase," to Ras protein, by comparing the levels of Ras-dependent activation of purified adenylyl cyclase with and without bound ",CAP,.,Not_a_complex
9032232,s4,T8,T9,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of ",adenylyl cyclase," to Ras protein, by comparing the levels of Ras-dependent activation of purified ",adenylyl cyclase, with and without bound CAP.,Not_a_complex
9032232,s4,T16,T9,The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (,CAP,"), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of Ras-dependent activation of purified ",adenylyl cyclase, with and without bound CAP.,Not_a_complex
9032232,s4,T17,T9,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to ",Ras," protein, by comparing the levels of Ras-dependent activation of purified ",adenylyl cyclase, with and without bound CAP.,Not_a_complex
9032232,s4,T18,T9,"The stimulatory effect of farnesylation is found to depend on the association of adenylyl cyclase with 70-kDa adenylyl cyclase-associated protein (CAP), which was known to be required for proper in vivo response of adenylyl cyclase to Ras protein, by comparing the levels of ",Ras,-dependent activation of purified ,adenylyl cyclase, with and without bound CAP.,Not_a_complex
9032232,s6,T21,T10,"Furthermore, the stimulatory effect is successfully reconstituted by in vitro association of ",CAP, with the purified ,adenylyl cyclase, molecule lacking the bound CAP.,Complex_formation
9032232,s6,T10,T22,"Furthermore, the stimulatory effect is successfully reconstituted by in vitro association of CAP with the purified ",adenylyl cyclase, molecule lacking the bound ,CAP,.,Not_a_complex
9032232,s6,T21,T22,"Furthermore, the stimulatory effect is successfully reconstituted by in vitro association of ",CAP, with the purified adenylyl cyclase molecule lacking the bound ,CAP,.,Not_a_complex
9032232,s7,T11,T23,These results indicate that the association of ,adenylyl cyclase, with ,CAP," is responsible for the stimulatory effect of posttranslational modification of Ras on its activity and that this may be the mechanism underlying its requirement for the proper in vivo cyclic AMP response. 
",Complex_formation
9032232,s7,T11,T24,These results indicate that the association of ,adenylyl cyclase, with CAP is responsible for the stimulatory effect of posttranslational modification of ,Ras," on its activity and that this may be the mechanism underlying its requirement for the proper in vivo cyclic AMP response. 
",Not_a_complex
9032232,s7,T23,T24,These results indicate that the association of adenylyl cyclase with ,CAP, is responsible for the stimulatory effect of posttranslational modification of ,Ras," on its activity and that this may be the mechanism underlying its requirement for the proper in vivo cyclic AMP response. 
",Not_a_complex
