18226226_30,s0,T1,T2,Our study on the growth-promoting function of ,bunA," in Drosophila may influence the perspective on the mammalian homologs of Bun, especially on ",TSC-22, (TSC22D1).,Not_a_complex
18226226_30,s1,T26,T28,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T26,T29,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T27,T28,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T27,T29,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T28,T29,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T10,Whereas the longer isoform of ,TSC-22," (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T4,T26,Whereas the longer isoform of ,TSC-22, (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T27,Whereas the longer isoform of ,TSC-22," (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T28,Whereas the longer isoform of ,TSC-22," (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T29,Whereas the longer isoform of ,TSC-22," (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T5,Whereas the longer isoform of ,TSC-22, (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T6,Whereas the longer isoform of ,TSC-22, (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T7,Whereas the longer isoform of ,TSC-22," (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T8,Whereas the longer isoform of ,TSC-22," (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T4,T9,Whereas the longer isoform of ,TSC-22," (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T10,Whereas the longer isoform of TSC-22 (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T5,T26,Whereas the longer isoform of TSC-22 (,TSC22D1,.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T27,Whereas the longer isoform of TSC-22 (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T28,Whereas the longer isoform of TSC-22 (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T29,Whereas the longer isoform of TSC-22 (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T6,Whereas the longer isoform of TSC-22 (,TSC22D1,.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T7,Whereas the longer isoform of TSC-22 (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T8,Whereas the longer isoform of TSC-22 (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T5,T9,Whereas the longer isoform of TSC-22 (,TSC22D1,".1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T6,T10,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T6,T26,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA, (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T6,T27,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T6,T28,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T6,T29,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T6,T7,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T6,T8,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T6,T9,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to ,BunA," (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T7,T10,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T26,T7,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T7,T27,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,.2) resembles ,BunB,", BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T7,T28,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T7,T29,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T7,T8,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T7,T9,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (",TSC22D1,".2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T8,T10,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T26,T8,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T27,T8,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T28,T8,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T29,T8,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and ",BunE,. Data from numerous studies suggest that ,TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only bunA is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T8,T9,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that ",TSC22D1,".2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T9,T10,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that ",BunA, behaves rather opposite to a tumor suppressor.,Not_a_complex
18226226_30,s1,T26,T9,Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and ,BunF,"), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T27,T9,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles ",BunB,", BunD, and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T28,T9,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, ",BunD,", and BunE. Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s1,T29,T9,"Whereas the longer isoform of TSC-22 (TSC22D1.1) is similar to BunA (and BunF), the shorter isoform (TSC22D1.2) resembles BunB, BunD, and ",BunE,". Data from numerous studies suggest that TSC22D1.2 acts as a tumor suppressor, which is at odds with the fact that only ",bunA," is involved in growth regulation in Drosophila, and that BunA behaves rather opposite to a tumor suppressor.",Not_a_complex
18226226_30,s2,T11,T12,"The results from our in vivo analysis may be of special interest in this context, since the relative balance of ",bun, transcripts is important (allelic series) and overexpression of bunC (and also bunB) interferes with ,bunA, function in a dominant negative manner.,Not_a_complex
18226226_30,s2,T11,T30,"The results from our in vivo analysis may be of special interest in this context, since the relative balance of ",bun, transcripts is important (allelic series) and overexpression of ,bunC, (and also bunB) interferes with bunA function in a dominant negative manner.,Not_a_complex
18226226_30,s2,T11,T31,"The results from our in vivo analysis may be of special interest in this context, since the relative balance of ",bun, transcripts is important (allelic series) and overexpression of bunC (and also ,bunB,) interferes with bunA function in a dominant negative manner.,Not_a_complex
18226226_30,s2,T30,T12,"The results from our in vivo analysis may be of special interest in this context, since the relative balance of bun transcripts is important (allelic series) and overexpression of ",bunC, (and also bunB) interferes with ,bunA, function in a dominant negative manner.,Not_a_complex
18226226_30,s2,T31,T12,"The results from our in vivo analysis may be of special interest in this context, since the relative balance of bun transcripts is important (allelic series) and overexpression of bunC (and also ",bunB,) interferes with ,bunA, function in a dominant negative manner.,Not_a_complex
18226226_30,s2,T30,T31,"The results from our in vivo analysis may be of special interest in this context, since the relative balance of bun transcripts is important (allelic series) and overexpression of ",bunC, (and also ,bunB,) interferes with bunA function in a dominant negative manner.,Not_a_complex
18226226_30,s4,T14,T15,Whereas the long ,TSC-22," isoform, ",TSC22D1,".1, positively regulates cellular growth (as does BunA), the short isoform, TSC22D1.2, inhibits growth by competing with TSC22D1.1.",Not_a_complex
18226226_30,s4,T14,T16,Whereas the long ,TSC-22," isoform, TSC22D1.1, positively regulates cellular growth (as does ",BunA,"), the short isoform, TSC22D1.2, inhibits growth by competing with TSC22D1.1.",Not_a_complex
18226226_30,s4,T14,T17,Whereas the long ,TSC-22," isoform, TSC22D1.1, positively regulates cellular growth (as does BunA), the short isoform, ",TSC22D1,".2, inhibits growth by competing with TSC22D1.1.",Not_a_complex
18226226_30,s4,T14,T18,Whereas the long ,TSC-22," isoform, TSC22D1.1, positively regulates cellular growth (as does BunA), the short isoform, TSC22D1.2, inhibits growth by competing with ",TSC22D1,.1.,Not_a_complex
18226226_30,s4,T15,T16,"Whereas the long TSC-22 isoform, ",TSC22D1,".1, positively regulates cellular growth (as does ",BunA,"), the short isoform, TSC22D1.2, inhibits growth by competing with TSC22D1.1.",Not_a_complex
18226226_30,s4,T15,T17,"Whereas the long TSC-22 isoform, ",TSC22D1,".1, positively regulates cellular growth (as does BunA), the short isoform, ",TSC22D1,".2, inhibits growth by competing with TSC22D1.1.",Not_a_complex
18226226_30,s4,T15,T18,"Whereas the long TSC-22 isoform, ",TSC22D1,".1, positively regulates cellular growth (as does BunA), the short isoform, TSC22D1.2, inhibits growth by competing with ",TSC22D1,.1.,Not_a_complex
18226226_30,s4,T16,T17,"Whereas the long TSC-22 isoform, TSC22D1.1, positively regulates cellular growth (as does ",BunA,"), the short isoform, ",TSC22D1,".2, inhibits growth by competing with TSC22D1.1.",Not_a_complex
18226226_30,s4,T16,T18,"Whereas the long TSC-22 isoform, TSC22D1.1, positively regulates cellular growth (as does ",BunA,"), the short isoform, TSC22D1.2, inhibits growth by competing with ",TSC22D1,.1.,Not_a_complex
18226226_30,s4,T17,T18,"Whereas the long TSC-22 isoform, TSC22D1.1, positively regulates cellular growth (as does BunA), the short isoform, ",TSC22D1,".2, inhibits growth by competing with ",TSC22D1,.1.,Not_a_complex
18226226_30,s10,T22,T23,Our findings should encourage further studies in mammals that distinguish between the ,TSC-22, isoforms and that primarily focus on the function of the long ,TSC-22," protein, TSC22D1.1.
",Not_a_complex
18226226_30,s10,T22,T24,Our findings should encourage further studies in mammals that distinguish between the ,TSC-22," isoforms and that primarily focus on the function of the long TSC-22 protein, ",TSC22D1,".1.
",Not_a_complex
18226226_30,s10,T23,T24,Our findings should encourage further studies in mammals that distinguish between the TSC-22 isoforms and that primarily focus on the function of the long ,TSC-22," protein, ",TSC22D1,".1.
",Not_a_complex
