10358173,s0,T1,T2,IL-12 induces ,IFN regulating factor-1, (,IRF-1,") gene expression in human NK and T cells. 
",Not_a_complex
10358173,s3,T4,T8,"We identified several genes up-regulated by IL-12, namely, ",MIP-1alpha,", MIP-1beta, IL-1RA, and IFN regulatory factor-1 (",IRF-1,).,Not_a_complex
10358173,s3,T33,T5,We identified several genes up-regulated by ,IL-12,", namely, MIP-1alpha, ",MIP-1beta,", IL-1RA, and IFN regulatory factor-1 (IRF-1).",Not_a_complex
10358173,s3,T5,T6,"We identified several genes up-regulated by IL-12, namely, MIP-1alpha, ",MIP-1beta,", ",IL-1RA,", and IFN regulatory factor-1 (IRF-1).",Not_a_complex
10358173,s3,T5,T7,"We identified several genes up-regulated by IL-12, namely, MIP-1alpha, ",MIP-1beta,", IL-1RA, and ",IFN regulatory factor-1, (IRF-1).,Not_a_complex
10358173,s3,T5,T8,"We identified several genes up-regulated by IL-12, namely, MIP-1alpha, ",MIP-1beta,", IL-1RA, and IFN regulatory factor-1 (",IRF-1,).,Not_a_complex
10358173,s3,T33,T6,We identified several genes up-regulated by ,IL-12,", namely, MIP-1alpha, MIP-1beta, ",IL-1RA,", and IFN regulatory factor-1 (IRF-1).",Not_a_complex
10358173,s3,T6,T7,"We identified several genes up-regulated by IL-12, namely, MIP-1alpha, MIP-1beta, ",IL-1RA,", and ",IFN regulatory factor-1, (IRF-1).,Not_a_complex
10358173,s3,T6,T8,"We identified several genes up-regulated by IL-12, namely, MIP-1alpha, MIP-1beta, ",IL-1RA,", and IFN regulatory factor-1 (",IRF-1,).,Not_a_complex
10358173,s3,T33,T7,We identified several genes up-regulated by ,IL-12,", namely, MIP-1alpha, MIP-1beta, IL-1RA, and ",IFN regulatory factor-1, (IRF-1).,Not_a_complex
10358173,s3,T7,T8,"We identified several genes up-regulated by IL-12, namely, MIP-1alpha, MIP-1beta, IL-1RA, and ",IFN regulatory factor-1, (,IRF-1,).,Not_a_complex
10358173,s3,T33,T8,We identified several genes up-regulated by ,IL-12,", namely, MIP-1alpha, MIP-1beta, IL-1RA, and IFN regulatory factor-1 (",IRF-1,).,Not_a_complex
10358173,s4,T9,T46,,IRF-1, is a transcription factor regulated by ,IFNs, that is also essential for Th1 responses.,Not_a_complex
10358173,s5,T34,T10,We demonstrated that ,IL-12, directly up-regulates ,IRF-1, to the same extent as IFN-alpha in normal human T cells and in NK cells.,Not_a_complex
10358173,s5,T10,T35,We demonstrated that IL-12 directly up-regulates ,IRF-1, to the same extent as ,IFN-alpha, in normal human T cells and in NK cells.,Not_a_complex
10358173,s5,T34,T35,We demonstrated that ,IL-12, directly up-regulates IRF-1 to the same extent as ,IFN-alpha, in normal human T cells and in NK cells.,Not_a_complex
10358173,s6,T11,T12,We showed that IL-12 had a direct effect on ,IRF-1,", an effect not mediated indirectly by the induction of ",IFN-gamma, production.,Not_a_complex
10358173,s6,T36,T11,We showed that ,IL-12, had a direct effect on ,IRF-1,", an effect not mediated indirectly by the induction of IFN-gamma production.",Not_a_complex
10358173,s6,T36,T12,We showed that ,IL-12," had a direct effect on IRF-1, an effect not mediated indirectly by the induction of ",IFN-gamma, production.,Not_a_complex
10358173,s7,T37,T13,"Furthermore, ",IL-2, and IL-12 synergistically induced ,IRF-1,", whereas IFN-alpha and IL-12 did not.",Not_a_complex
10358173,s7,T38,T13,"Furthermore, IL-2 and ",IL-12, synergistically induced ,IRF-1,", whereas IFN-alpha and IL-12 did not.",Not_a_complex
10358173,s7,T13,T39,"Furthermore, IL-2 and IL-12 synergistically induced ",IRF-1,", whereas ",IFN-alpha, and IL-12 did not.,Not_a_complex
10358173,s7,T13,T40,"Furthermore, IL-2 and IL-12 synergistically induced ",IRF-1,", whereas IFN-alpha and ",IL-12, did not.,Not_a_complex
10358173,s7,T37,T38,"Furthermore, ",IL-2, and ,IL-12," synergistically induced IRF-1, whereas IFN-alpha and IL-12 did not.",Not_a_complex
10358173,s7,T37,T39,"Furthermore, ",IL-2," and IL-12 synergistically induced IRF-1, whereas ",IFN-alpha, and IL-12 did not.,Not_a_complex
10358173,s7,T37,T40,"Furthermore, ",IL-2," and IL-12 synergistically induced IRF-1, whereas IFN-alpha and ",IL-12, did not.,Not_a_complex
10358173,s7,T38,T39,"Furthermore, IL-2 and ",IL-12," synergistically induced IRF-1, whereas ",IFN-alpha, and IL-12 did not.,Not_a_complex
10358173,s7,T38,T40,"Furthermore, IL-2 and ",IL-12," synergistically induced IRF-1, whereas IFN-alpha and ",IL-12, did not.,Not_a_complex
10358173,s7,T39,T40,"Furthermore, IL-2 and IL-12 synergistically induced IRF-1, whereas ",IFN-alpha, and ,IL-12, did not.,Not_a_complex
10358173,s8,T14,T15,The participation of ,STAT4, in the regulation of ,IRF-1, was demonstrated in two ways.,Not_a_complex
10358173,s9,T16,T17,"First, ",STAT4, was required for the IL-12-dependent transactivation of an ,IRF-1," reporter construct, and second, STAT4 binding to the IRF-1 promoter was shown using EMSA.",Not_a_complex
10358173,s9,T16,T18,"First, ",STAT4," was required for the IL-12-dependent transactivation of an IRF-1 reporter construct, and second, ",STAT4, binding to the IRF-1 promoter was shown using EMSA.,Not_a_complex
10358173,s9,T16,T19,"First, ",STAT4," was required for the IL-12-dependent transactivation of an IRF-1 reporter construct, and second, STAT4 binding to the ",IRF-1, promoter was shown using EMSA.,Not_a_complex
10358173,s9,T16,T41,"First, ",STAT4, was required for the ,IL-12,"-dependent transactivation of an IRF-1 reporter construct, and second, STAT4 binding to the IRF-1 promoter was shown using EMSA.",Not_a_complex
10358173,s9,T17,T18,"First, STAT4 was required for the IL-12-dependent transactivation of an ",IRF-1," reporter construct, and second, ",STAT4, binding to the IRF-1 promoter was shown using EMSA.,Not_a_complex
10358173,s9,T17,T19,"First, STAT4 was required for the IL-12-dependent transactivation of an ",IRF-1," reporter construct, and second, STAT4 binding to the ",IRF-1, promoter was shown using EMSA.,Not_a_complex
10358173,s9,T41,T17,"First, STAT4 was required for the ",IL-12,-dependent transactivation of an ,IRF-1," reporter construct, and second, STAT4 binding to the IRF-1 promoter was shown using EMSA.",Not_a_complex
10358173,s9,T18,T19,"First, STAT4 was required for the IL-12-dependent transactivation of an IRF-1 reporter construct, and second, ",STAT4, binding to the ,IRF-1, promoter was shown using EMSA.,Not_a_complex
10358173,s9,T41,T18,"First, STAT4 was required for the ",IL-12,"-dependent transactivation of an IRF-1 reporter construct, and second, ",STAT4, binding to the IRF-1 promoter was shown using EMSA.,Not_a_complex
10358173,s9,T41,T19,"First, STAT4 was required for the ",IL-12,"-dependent transactivation of an IRF-1 reporter construct, and second, STAT4 binding to the ",IRF-1, promoter was shown using EMSA.,Not_a_complex
10358173,s10,T20,T21,"In contrast to IL-12, no up-regulation of ",IRF-1, was found in ,IL-4,"-stimulated cells, and IL-4 did not block IL-12-dependent up-regulation of IRF-1.",Not_a_complex
10358173,s10,T20,T22,"In contrast to IL-12, no up-regulation of ",IRF-1," was found in IL-4-stimulated cells, and ",IL-4, did not block IL-12-dependent up-regulation of IRF-1.,Not_a_complex
10358173,s10,T20,T23,"In contrast to IL-12, no up-regulation of ",IRF-1," was found in IL-4-stimulated cells, and IL-4 did not block IL-12-dependent up-regulation of ",IRF-1,.,Not_a_complex
10358173,s10,T42,T20,In contrast to ,IL-12,", no up-regulation of ",IRF-1," was found in IL-4-stimulated cells, and IL-4 did not block IL-12-dependent up-regulation of IRF-1.",Not_a_complex
10358173,s10,T20,T43,"In contrast to IL-12, no up-regulation of ",IRF-1," was found in IL-4-stimulated cells, and IL-4 did not block ",IL-12,-dependent up-regulation of IRF-1.,Not_a_complex
10358173,s10,T21,T22,"In contrast to IL-12, no up-regulation of IRF-1 was found in ",IL-4,"-stimulated cells, and ",IL-4, did not block IL-12-dependent up-regulation of IRF-1.,Not_a_complex
10358173,s10,T21,T23,"In contrast to IL-12, no up-regulation of IRF-1 was found in ",IL-4,"-stimulated cells, and IL-4 did not block IL-12-dependent up-regulation of ",IRF-1,.,Not_a_complex
10358173,s10,T42,T21,In contrast to ,IL-12,", no up-regulation of IRF-1 was found in ",IL-4,"-stimulated cells, and IL-4 did not block IL-12-dependent up-regulation of IRF-1.",Not_a_complex
10358173,s10,T21,T43,"In contrast to IL-12, no up-regulation of IRF-1 was found in ",IL-4,"-stimulated cells, and IL-4 did not block ",IL-12,-dependent up-regulation of IRF-1.,Not_a_complex
10358173,s10,T22,T23,"In contrast to IL-12, no up-regulation of IRF-1 was found in IL-4-stimulated cells, and ",IL-4, did not block IL-12-dependent up-regulation of ,IRF-1,.,Not_a_complex
10358173,s10,T42,T22,In contrast to ,IL-12,", no up-regulation of IRF-1 was found in IL-4-stimulated cells, and ",IL-4, did not block IL-12-dependent up-regulation of IRF-1.,Not_a_complex
10358173,s10,T22,T43,"In contrast to IL-12, no up-regulation of IRF-1 was found in IL-4-stimulated cells, and ",IL-4, did not block ,IL-12,-dependent up-regulation of IRF-1.,Not_a_complex
10358173,s10,T42,T23,In contrast to ,IL-12,", no up-regulation of IRF-1 was found in IL-4-stimulated cells, and IL-4 did not block IL-12-dependent up-regulation of ",IRF-1,.,Not_a_complex
10358173,s10,T43,T23,"In contrast to IL-12, no up-regulation of IRF-1 was found in IL-4-stimulated cells, and IL-4 did not block ",IL-12,-dependent up-regulation of ,IRF-1,.,Not_a_complex
10358173,s10,T42,T43,In contrast to ,IL-12,", no up-regulation of IRF-1 was found in IL-4-stimulated cells, and IL-4 did not block ",IL-12,-dependent up-regulation of IRF-1.,Not_a_complex
10358173,s11,T24,T25,"Therefore, ",IRF-1," may be an important contributor to IL-12 signaling, and we speculate that the defective IL-12 responses seen in ",IRF-1,"-/- mice might be attributable, in part, to the absence of this transcription factor.",Not_a_complex
10358173,s11,T24,T44,"Therefore, ",IRF-1, may be an important contributor to ,IL-12," signaling, and we speculate that the defective IL-12 responses seen in IRF-1-/- mice might be attributable, in part, to the absence of this transcription factor.",Not_a_complex
10358173,s11,T24,T45,"Therefore, ",IRF-1," may be an important contributor to IL-12 signaling, and we speculate that the defective ",IL-12," responses seen in IRF-1-/- mice might be attributable, in part, to the absence of this transcription factor.",Not_a_complex
10358173,s11,T44,T25,"Therefore, IRF-1 may be an important contributor to ",IL-12," signaling, and we speculate that the defective IL-12 responses seen in ",IRF-1,"-/- mice might be attributable, in part, to the absence of this transcription factor.",Not_a_complex
10358173,s11,T45,T25,"Therefore, IRF-1 may be an important contributor to IL-12 signaling, and we speculate that the defective ",IL-12, responses seen in ,IRF-1,"-/- mice might be attributable, in part, to the absence of this transcription factor.",Not_a_complex
10358173,s11,T44,T45,"Therefore, IRF-1 may be an important contributor to ",IL-12," signaling, and we speculate that the defective ",IL-12," responses seen in IRF-1-/- mice might be attributable, in part, to the absence of this transcription factor.",Not_a_complex
